Neighborhood,Longitude,Latitude,Weapon,1,2,3,4,5,6,7,8,9,10,11
"3700 E Washington Ave, Madison, WI, 53704",-89.324557,43.117109,Handgun,0,0,0,1,1,1,1,1,1,1,
"1 S Gammon Rd, Madison, WI, 53717",-89.502494,43.067735,Handgun,0,0,0,1,1,1,1,1,1,1,
"2500 Dunwoody Dr, Madison, WI, 53713",-89.375634,43.038162,Pellet/BB Gun (Pistols & Rifles),0,0,0,1,1,1,1,1,1,1,
"1000 Moorland Rd, Madison, WI, 53713",-89.368841,43.034601,Handgun,0,0,0,1,1,1,1,1,1,1,
"1800 S Park St, Madison, WI, 53713",-89.394179,43.04736,Handgun,0,0,0,1,1,1,1,1,1,1,
"6800 Park Edge Dr, Madison, WI, 53719",-89.501048,43.042056,Handgun,0,0,0,1,1,1,1,1,1,1,
"6800 Park Edge Dr, Madison, WI, 53719",-89.501048,43.042056,Handgun,0,0,0,1,1,1,1,1,1,1,
"Madison, WI",-89.386691,43.072951,Handgun,0,0,0,1,1,1,1,1,1,1,
"2800 Ashford Ln, Madison, WI, 53713",-89.424932,43.033828,Handgun,0,0,0,1,1,1,1,1,1,1,
"2800 Ashford Ln, Madison, WI, 53713",-89.424932,43.033828,Handgun,0,0,0,1,1,1,1,1,1,1,
"1 Obrien CT, Madison, WI, 53714",-89.288703,43.100209,Pellet/BB Gun (Pistols & Rifles),0,0,0,0,1,1,1,1,1,1,
"1 Obrien CT, Madison, WI, 53714",-89.288703,43.100209,Pellet/BB Gun (Pistols & Rifles),0,0,0,0,1,1,1,1,1,1,
"1600 Ruskin St, Madison, WI, 53704",-89.361726,43.117083,Pellet/BB Gun (Pistols & Rifles),0,0,0,0,1,1,1,1,1,1,
"600 Highland Ave, Madison, WI, 53705",-89.429106,43.075982,Firearm(Type not stated),0,0,0,0,1,1,1,1,1,1,
"1400 Pflaum Rd, Madison, WI, 53716",-89.310921,43.062301,Handgun,0,0,0,0,1,1,1,1,1,1,
"400 N Broom St, Madison, WI, 53703",-89.392666,43.074153,Pellet/BB Gun (Pistols & Rifles),0,0,0,0,1,1,1,1,1,1,
"400 N Broom St, Madison, WI, 53703",-89.392666,43.074153,Pellet/BB Gun (Pistols & Rifles),0,0,0,0,1,1,1,1,1,1,
"400 W Gorham St, Madison, WI, 53703",-89.392648,43.074204,Firearm(Type not stated),0,0,0,0,1,1,1,1,1,1,
"3700 Packers Ave, Madison, WI, 53704",-89.355445,43.133537,Handgun,0,0,0,0,1,1,1,1,1,1,
"700 W Washington Ave, Madison, WI, 53715",-89.395332,43.067003,Handgun,0,0,0,0,1,1,1,1,1,1,
"3200 Stonecreek Dr, Madison, WI, 53719",-89.503283,43.015653,Pellet/BB Gun (Pistols & Rifles),0,0,0,0,1,1,1,1,1,1,
"100 N Blair St, Madison, WI, 53703",-89.38005,43.079496,Pellet/BB Gun (Pistols & Rifles),0,0,0,0,1,1,1,1,1,1,
"1600 N Sherman Ave, Madison, WI, 53704",-89.363807,43.117069,Pellet/BB Gun (Pistols & Rifles),0,0,0,0,1,1,1,1,1,1,
"2500 E Johnson St, Madison, WI, 53704",-89.35221,43.10195,Handgun,0,0,0,0,1,1,1,1,1,1,
"1 E Towne Mall, Madison, WI, 53704",-89.306666,43.122608,Handgun,0,0,0,0,1,1,1,1,1,1,
"6700 Odana Rd, Madison, WI, 53719",-89.496449,43.056659,Firearm(Type not stated),0,0,0,0,1,1,1,1,1,1,
"2100 Fisher St, Madison, WI, 53713",-89.391936,43.042973,Handgun,0,0,0,0,1,1,1,1,1,1,
"2100 Fisher St, Madison, WI, 53713",-89.391936,43.042973,Handgun,0,0,0,0,1,1,1,1,1,1,
"1500 W Broadway, Madison, WI, 53713",-89.340728,43.047211,Firearm(Type not stated),0,0,0,0,1,1,1,1,1,1,
"600 N Oak St, Madison, WI, 53704",-89.342923,43.106807,Handgun,0,0,0,0,1,1,1,1,1,1,
"1 E Towne Mall, Madison, WI, 53704",-89.306666,43.122608,Handgun,0,0,0,0,1,1,1,1,1,1,
"Aberg Ave, Madison, WI, 53704",-89.338727,43.107191,Handgun,0,0,0,0,1,1,1,1,1,1,
